Filename,Design Name,Category,Size,Price (EGP),Notes,Color Scheme,Image Path
WhatsApp Image 2026-07-09 at 23.43.56 (1).jpeg,Best Friends Forever,Positive Vibes,Large,150,Black with gold accents and colorful dots,Black + Gold,images/WhatsApp Image 2026-07-09 at 23.43.56 (1).jpeg
WhatsApp Image 2026-07-09 at 23.43.56 (2).jpeg,Dont Make Me Use My Teacher Voice,Positive Vibes,Medium,140,Black background with gold border motivational quote,Black + Gold,images/WhatsApp Image 2026-07-09 at 23.43.56 (2).jpeg
WhatsApp Image 2026-07-09 at 23.43.56 (3).jpeg,Positive Quote,Positive Vibes,Medium,140,Text-based design,Dark,images/WhatsApp Image 2026-07-09 at 23.43.56 (3).jpeg
WhatsApp Image 2026-07-09 at 23.43.56 (4).jpeg,Motivational Keychain,Positive Vibes,Medium,140,Inspirational message,Dark,images/WhatsApp Image 2026-07-09 at 23.43.56 (4).jpeg
WhatsApp Image 2026-07-09 at 23.43.56.jpeg,Positive Affirmation,Positive Vibes,Small,120,Uplifting quote keychain,Neutral,images/WhatsApp Image 2026-07-09 at 23.43.56.jpeg
WhatsApp Image 2026-07-09 at 23.45.08 (1).jpeg,But First Coffee,Positive Vibes,Medium,140,Natural wood oval with motivational quote,Wood + Black,images/WhatsApp Image 2026-07-09 at 23.45.08 (1).jpeg
WhatsApp Image 2026-07-09 at 23.45.08 (2).jpeg,Coffee Quote,Positive Vibes,Small,120,Coffee-themed motivational design,Wood,images/WhatsApp Image 2026-07-09 at 23.45.08 (2).jpeg
WhatsApp Image 2026-07-09 at 23.45.08.jpeg,Coffee Lover,Positive Vibes,Small,120,Simple coffee quote,Wood,images/WhatsApp Image 2026-07-09 at 23.45.08.jpeg
WhatsApp Image 2026-07-09 at 23.45.55.jpeg,Motivational Design,Positive Vibes,Medium,140,Inspirational text,Dark,images/WhatsApp Image 2026-07-09 at 23.45.55.jpeg
WhatsApp Image 2026-07-09 at 23.45.56 (1).jpeg,Quote Keychain 1,Positive Vibes,Medium,140,Motivational message,Dark,images/WhatsApp Image 2026-07-09 at 23.45.56 (1).jpeg
WhatsApp Image 2026-07-09 at 23.45.56 (2).jpeg,Quote Keychain 2,Positive Vibes,Medium,140,Inspirational text,Dark,images/WhatsApp Image 2026-07-09 at 23.45.56 (2).jpeg
WhatsApp Image 2026-07-09 at 23.45.56 (3).jpeg,Quote Keychain 3,Positive Vibes,Small,120,Uplifting message,Dark,images/WhatsApp Image 2026-07-09 at 23.45.56 (3).jpeg
WhatsApp Image 2026-07-09 at 23.45.56.jpeg,Quote Keychain 4,Positive Vibes,Small,120,Motivational quote,Dark,images/WhatsApp Image 2026-07-09 at 23.45.56.jpeg
WhatsApp Image 2026-07-09 at 23.47.31.jpeg,Cute Girl Character,Cute Friends,Large,150,Character illustration with personality,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.31.jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (1).jpeg,Cute Illustration 1,Cute Friends,Large,150,Adorable character design,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (1).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (2).jpeg,Cute Illustration 2,Cute Friends,Large,150,Sweet character with details,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (2).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (3).jpeg,Girl with Ladybug,Cute Friends,Large,150,Charming illustration with bug and flowers,Wood + Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (3).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (4).jpeg,Cute Character 1,Cute Friends,Medium,140,Sweet character design,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (4).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (5).jpeg,Cute Character 2,Cute Friends,Medium,140,Adorable illustration,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (5).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (6).jpeg,Cute Character 3,Cute Friends,Medium,140,Charming character,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (6).jpeg
WhatsApp Image 2026-07-09 at 23.47.32.jpeg,Cute Character 4,Cute Friends,Small,120,Simple character design,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32.jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (1).jpeg,Floral Design 1,Soft & Floral,Large,150,Beautiful flower arrangement,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (1).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (2).jpeg,Floral Design 2,Soft & Floral,Large,150,Elegant flower pattern,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (2).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (3).jpeg,Floral Design 3,Soft & Floral,Large,150,Delicate flowers,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (3).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (4).jpeg,Floral Design 4,Soft & Floral,Medium,140,Nature-inspired pattern,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (4).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (5).jpeg,Floral Design 5,Soft & Floral,Medium,140,Soft flower design,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (5).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (6).jpeg,Floral Design 6,Soft & Floral,Medium,140,Botanical illustration,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (6).jpeg
